ym,month,region,group_facilities,gr03,gr35,pre,oos,spec,emer,gma,family_facilities,family_spaces,total_spaces,total_facilities
201101,JAN 2011,4 - North,167,302,1354,1357,1629,0,0,262,240,1709,6613,407
201102,FEB 2011,1 - Interior,371,1080,3222,2712,4329,0,0,200,324,2310,13853,695
201102,FEB 2011,2 - Coast Fraser,1632,3718,13331,11954,16178,0,0,744,1028,7186,53111,2660
201102,FEB 2011,3 - Vancouver Island,463,1130,4683,3368,6647,0,0,244,414,2947,19019,877
201102,FEB 2011,4 - North,165,302,1318,1357,1631,0,0,262,244,1736,6606,409
201103,MAR 2011,1 - Interior,371,1080,3214,2720,4329,0,0,200,328,2338,13881,699
201103,MAR 2011,2 - Coast Fraser,1640,3718,13386,12034,16210,0,0,760,1034,7233,53341,2674
201103,MAR 2011,3 - Vancouver Island,463,1130,4675,3376,6647,0,0,244,420,2989,19061,883
201103,MAR 2011,4 - North,165,302,1326,1363,1631,0,0,262,247,1757,6641,412
201104,APR 2011,1 - Interior,370,1100,3225,2708,4325,0,0,192,306,2183,13733,676
201104,APR 2011,2 - Coast Fraser,1637,3886,13457,12055,15950,0,0,747,1004,7023,53118,2641
201104,APR 2011,3 - Vancouver Island,464,1150,4665,3365,6646,0,0,252,407,2903,18981,871
201104,APR 2011,4 - North,165,312,1373,1350,1528,0,0,294,228,1622,6479,393
201105,MAY 2011,1 - Interior,371,1112,3225,2708,4323,0,0,200,304,2169,13737,675
201105,MAY 2011,2 - Coast Fraser,1643,3946,13523,12059,15978,0,0,755,1023,7172,53433,2666
201105,MAY 2011,3 - Vancouver Island,463,1144,4640,3365,6652,0,0,244,414,2953,18998,877
201105,MAY 2011,4 - North,165,312,1373,1350,1528,0,0,294,228,1622,6479,393
201106,JUN 2011,1 - Interior,371,1112,3249,2728,4347,0,0,192,305,2176,13804,676
201106,JUN 2011,2 - Coast Fraser,1649,3986,13604,12076,16006,0,0,794,1022,7166,53632,2671
201106,JUN 2011,3 - Vancouver Island,461,1152,4640,3365,6616,0,0,244,413,2946,18963,874
201106,JUN 2011,4 - North,166,312,1373,1358,1528,0,0,294,228,1621,6486,394
201107,JUL 2011,1 - Interior,365,1108,3248,2655,4300,0,0,184,299,2135,13630,664
201107,JUL 2011,2 - Coast Fraser,1625,4002,13671,11795,15832,0,0,770,1013,7097,53167,2638
201107,JUL 2011,3 - Vancouver Island,455,1152,4604,3338,6664,0,0,236,409,2918,18912,864
201107,JUL 2011,4 - North,162,312,1368,1303,1555,0,0,302,223,1586,6426,385
201108,AUG 2011,1 - Interior,368,1120,3305,2655,4308,0,0,184,300,2142,13714,668
201108,AUG 2011,2 - Coast Fraser,1628,4010,13682,11785,15865,0,0,778,1010,7075,53195,2638
201108,AUG 2011,3 - Vancouver Island,455,1184,4626,3338,6715,0,0,260,408,2910,19033,863
201108,AUG 2011,4 - North,161,312,1352,1283,1547,0,0,294,222,1579,6367,383
201109,SEP 2011,1 - Interior,371,1140,3362,2692,4343,0,0,191,297,2120,13848,668
201109,SEP 2011,2 - Coast Fraser,1665,4140,13953,12145,16285,0,0,794,1002,7024,54341,2667
201109,SEP 2011,3 - Vancouver Island,459,1206,4651,3385,6838,0,0,292,408,2912,19284,867
201109,SEP 2011,4 - North,164,312,1352,1303,1599,0,0,310,217,1543,6419,381
201110,OCT 2011,1 - Interior,374,1140,3370,2766,4340,0,0,183,296,2114,13913,670
201110,OCT 2011,2 - Coast Fraser,1683,4190,13997,12378,16405,0,0,788,1016,7130,54888,2699
201110,OCT 2011,3 - Vancouver Island,457,1230,4722,3369,6783,0,0,300,408,2913,19317,865
201110,OCT 2011,4 - North,164,312,1340,1273,1579,0,0,310,217,1544,6358,381
201111,NOV 2011,1 - Interior,378,1152,3404,2787,4388,0,0,183,299,2137,14051,677
201111,NOV 2011,2 - Coast Fraser,1692,4218,14094,12460,16540,0,0,819,1022,7173,55304,2714
201111,NOV 2011,3 - Vancouver Island,458,1230,4779,3288,6817,0,0,348,413,2948,19410,871
201111,NOV 2011,4 - North,166,312,1340,1273,1607,0,0,318,219,1558,6408,385
201112,DEC 2011,1 - Interior,381,1176,3407,2798,4467,0,0,183,299,2135,14166,680
201112,DEC 2011,2 - Coast Fraser,1694,4220,14077,12500,16575,0,0,827,1030,7234,55433,2724
201112,DEC 2011,3 - Vancouver Island,463,1234,4836,3312,6863,0,0,364,415,2964,19573,878
201112,DEC 2011,4 - North,167,312,1340,1283,1607,0,0,318,220,1565,6425,387
201201,JAN 2012,1 - Interior,382,1212,3427,2846,4471,0,0,183,295,2105,14244,677
201201,JAN 2012,2 - Coast Fraser,1700,4224,14115,12555,16735,0,0,851,1035,7268,55748,2735
201201,JAN 2012,3 - Vancouver Island,462,1238,4844,3320,6843,0,0,364,417,2979,19588,879
201201,JAN 2012,4 - North,166,308,1346,1263,1607,0,0,326,222,1579,6429,388
201202,FEB 2012,1 - Interior,384,1224,3427,2847,4485,0,0,183,298,2129,14295,682
201202,FEB 2012,2 - Coast Fraser,1700,4273,14081,12632,16682,0,0,847,1045,7343,55858,2745
201202,FEB 2012,3 - Vancouver Island,466,1238,4896,3341,6875,0,0,372,421,3007,19729,887
201202,FEB 2012,4 - North,164,308,1326,1263,1577,0,0,326,226,1610,6410,390
201203,MAR 2012,1 - Interior,384,1236,3449,2853,4501,0,0,175,296,2116,14330,680
201203,MAR 2012,2 - Coast Fraser,1699,4273,14125,12574,16661,0,0,847,1065,7486,55966,2764
201203,MAR 2012,3 - Vancouver Island,467,1230,4896,3357,6875,0,0,380,426,3044,19782,893
201203,MAR 2012,4 - North,165,320,1301,1263,1577,0,0,342,228,1626,6429,393
201204,APR 2012,1 - Interior,378,1235,3452,2741,4524,0,0,199,291,2083,14234,669
201204,APR 2012,2 - Coast Fraser,1695,4332,14247,12409,16661,0,0,864,1059,7452,55965,2754
201204,APR 2012,3 - Vancouver Island,463,1258,4955,3258,6755,0,0,364,420,2998,19588,883
201204,APR 2012,4 - North,165,320,1298,1277,1551,0,0,374,224,1599,6419,389
201205,MAY 2012,1 - Interior,378,1243,3452,2741,4524,0,0,199,290,2076,14235,668
201205,MAY 2012,2 - Coast Fraser,1707,4364,14393,12458,16749,0,0,904,1054,7417,56285,2761
201205,MAY 2012,3 - Vancouver Island,462,1262,4951,3262,6763,0,0,364,418,2983,19585,880
201205,MAY 2012,4 - North,164,320,1298,1271,1544,0,0,374,224,1599,6406,388
201206,JUN 2012,1 - Interior,377,1243,3450,2741,4514,0,0,199,291,2085,14232,668
201206,JUN 2012,2 - Coast Fraser,1705,4376,14450,12458,16689,0,0,896,1062,7478,56347,2767
201206,JUN 2012,3 - Vancouver Island,463,1266,4960,3262,6774,0,0,364,417,2977,19603,880
201206,JUN 2012,4 - North,165,320,1298,1271,1554,0,0,374,227,1620,6437,392
201207,JUL 2012,1 - Interior,372,1265,3486,2648,4516,0,0,207,289,2071,14193,661
201207,JUL 2012,2 - Coast Fraser,1685,4325,14427,12217,16471,0,0,928,1060,7470,55838,2745
201207,JUL 2012,3 - Vancouver Island,458,1242,4933,3186,6757,0,0,380,405,2890,19388,863
201207,JUL 2012,4 - North,163,320,1298,1261,1568,0,0,374,219,1564,6385,382
201208,AUG 2012,1 - Interior,372,1265,3486,2648,4516,0,0,207,284,2035,14157,656
201208,AUG 2012,2 - Coast Fraser,1681,4341,14428,12160,16423,0,0,920,1066,7515,55787,2747
201208,AUG 2012,3 - Vancouver Island,459,1246,4917,3186,6747,0,0,396,403,2877,19369,862
201208,AUG 2012,4 - North,164,320,1298,1261,1578,0,0,374,215,1536,6367,379
201209,SEP 2012,1 - Interior,375,1269,3556,2702,4556,0,0,215,284,2036,14334,659
201209,SEP 2012,2 - Coast Fraser,1712,4405,14699,12383,17079,0,0,947,1057,7448,56961,2769
201209,SEP 2012,3 - Vancouver Island,465,1250,4926,3198,6869,0,0,412,395,2820,19475,860
201209,SEP 2012,4 - North,167,320,1298,1261,1666,0,0,374,212,1514,6433,379
201210,OCT 2012,1 - Interior,378,1281,3590,2750,4602,0,0,223,283,2031,14477,661
201210,OCT 2012,2 - Coast Fraser,1722,4477,14764,12418,17270,0,0,979,1054,7438,57346,2776
201210,OCT 2012,3 - Vancouver Island,468,1250,4954,3221,6887,0,0,412,390,2789,19513,858
201210,OCT 2012,4 - North,166,320,1304,1261,1696,0,0,358,211,1507,6446,377
201211,NOV 2012,1 - Interior,380,1309,3567,2742,4602,0,0,239,284,2037,14496,664
201211,NOV 2012,2 - Coast Fraser,1731,4518,14843,12435,17296,0,0,987,1052,7427,57506,2783
201211,NOV 2012,3 - Vancouver Island,469,1250,4968,3247,6893,0,0,420,394,2819,19597,863
201211,NOV 2012,4 - North,167,320,1304,1261,1704,0,0,366,210,1501,6456,377
201212,DEC 2012,1 - Interior,383,1321,3590,2758,4612,0,0,247,288,2068,14596,671
201212,DEC 2012,2 - Coast Fraser,1736,4576,14899,12525,17382,0,0,973,1053,7436,57791,2789
201212,DEC 2012,3 - Vancouver Island,468,1258,4956,3247,6868,0,0,420,397,2840,19589,865
201212,DEC 2012,4 - North,169,320,1304,1261,1728,0,0,374,208,1484,6471,377
201301,JAN 2013,1 - Interior,383,1317,3586,2752,4601,0,0,263,288,2069,14588,671
201301,JAN 2013,2 - Coast Fraser,1742,4598,14876,12640,17445,0,0,965,1045,7384,57908,2787
201301,JAN 2013,3 - Vancouver Island,470,1266,5004,3294,6934,0,0,420,397,2840,19758,867
201301,JAN 2013,4 - North,170,328,1320,1261,1711,0,0,374,207,1477,6471,377
201302,FEB 2013,1 - Interior,386,1321,3587,2792,4605,0,0,263,287,2061,14629,673
201302,FEB 2013,2 - Coast Fraser,1742,4620,14893,12684,17427,0,0,965,1046,7391,57980,2788
201302,FEB 2013,3 - Vancouver Island,471,1274,5006,3294,6934,0,0,420,396,2834,19762,867
201302,FEB 2013,4 - North,171,328,1320,1261,1725,0,0,374,207,1477,6485,378
201303,MAR 2013,1 - Interior,389,1360,3639,2792,4633,0,0,263,287,2061,14748,676
201303,MAR 2013,2 - Coast Fraser,1746,4630,14918,12680,17479,0,0,965,1051,7426,58098,2797
201303,MAR 2013,3 - Vancouver Island,471,1274,5039,3294,6890,0,0,420,396,2836,19753,867
201303,MAR 2013,4 - North,173,328,1320,1281,1737,0,0,374,209,1491,6531,382
201304,APR 2013,1 - Interior,388,1352,3600,2792,4623,0,0,310,280,2012,14689,668
201304,APR 2013,2 - Coast Fraser,1733,4671,14976,12577,17295,0,0,1005,1030,7277,57801,2763
201304,APR 2013,3 - Vancouver Island,468,1342,4980,3282,6861,0,0,452,393,2815,19732,861
201304,APR 2013,4 - North,169,312,1294,1233,1735,0,0,430,195,1390,6394,364
201305,MAY 2013,1 - Interior,390,1340,3629,2844,4593,0,0,318,284,2043,14767,674
201305,MAY 2013,2 - Coast Fraser,1742,4675,15023,12607,17322,0,0,1034,1030,7275,57936,2772
201305,MAY 2013,3 - Vancouver Island,468,1350,4988,3282,6878,0,0,452,397,2843,19793,865
201305,MAY 2013,4 - North,169,312,1294,1233,1735,0,0,432,198,1412,6418,367
201306,JUN 2013,1 - Interior,389,1340,3629,2844,4580,0,0,318,285,2051,14762,674
201306,JUN 2013,2 - Coast Fraser,1746,4719,15068,12613,17366,0,0,1034,1041,7351,58151,2787
201306,JUN 2013,3 - Vancouver Island,466,1318,4967,3265,6850,0,0,428,395,2830,19658,861
201306,JUN 2013,4 - North,168,312,1294,1233,1735,0,0,424,198,1412,6410,366
201307,JUL 2013,1 - Interior,382,1340,3613,2834,4559,0,0,318,282,2030,14694,664
201307,JUL 2013,2 - Coast Fraser,1735,4739,14987,12493,17243,0,0,1026,1030,7272,57760,2765
201307,JUL 2013,3 - Vancouver Island,459,1340,5006,3169,6563,0,0,438,390,2795,19311,849
201307,JUL 2013,4 - North,168,312,1294,1233,1713,0,0,432,193,1373,6357,361
201308,AUG 2013,1 - Interior,385,1348,3646,2842,4564,0,0,334,283,2039,14773,668
201308,AUG 2013,2 - Coast Fraser,1742,4773,15015,12533,17307,0,0,1042,1026,7241,57911,2768
201308,AUG 2013,3 - Vancouver Island,460,1348,5056,3149,6563,0,0,438,390,2797,19351,850
201308,AUG 2013,4 - North,167,312,1298,1233,1725,0,0,440,189,1344,6352,356
201309,SEP 2013,1 - Interior,385,1400,3784,2867,4603,0,0,350,280,2019,15023,665
201309,SEP 2013,2 - Coast Fraser,1757,4874,15288,12554,17559,0,0,1034,1017,7169,58478,2774
201309,SEP 2013,3 - Vancouver Island,468,1352,5063,3206,6606,0,0,446,388,2783,19456,856
201309,SEP 2013,4 - North,164,320,1264,1237,1716,0,0,448,189,1343,6328,353
201310,OCT 2013,1 - Interior,386,1388,3817,2849,4593,0,0,372,275,1981,15000,661
201310,OCT 2013,2 - Coast Fraser,1764,4889,15399,12449,17635,0,0,1055,1015,7161,58588,2779
201310,OCT 2013,3 - Vancouver Island,475,1370,5110,3256,6667,0,0,438,388,2783,19624,863
201310,OCT 2013,4 - North,163,320,1265,1261,1716,0,0,440,191,1357,6359,354
201311,NOV 2013,1 - Interior,384,1380,3794,2849,4572,0,0,379,275,1981,14955,659
201311,NOV 2013,2 - Coast Fraser,1778,4969,15503,12458,17648,0,0,1087,1016,7176,58841,2794
201311,NOV 2013,3 - Vancouver Island,476,1370,5111,3276,6691,0,0,438,391,2804,19690,867
201311,NOV 2013,4 - North,167,320,1265,1327,1759,0,0,448,189,1343,6462,356
201312,DEC 2013,1 - Interior,385,1400,3808,2891,4557,0,0,371,276,1989,15016,661
201312,DEC 2013,2 - Coast Fraser,1789,5032,15676,12433,17631,0,0,1079,1018,7186,59037,2807
201312,DEC 2013,3 - Vancouver Island,477,1370,5129,3276,6691,0,0,438,392,2811,19715,869
201312,DEC 2013,4 - North,168,320,1285,1337,1759,0,0,448,192,1364,6513,360
201401,JAN 2014,1 - Interior,385,1412,3800,2890,4525,0,0,379,276,1990,14996,661
201401,JAN 2014,2 - Coast Fraser,1792,5020,15722,12449,17691,0,0,1087,1018,7189,59158,2810
201401,JAN 2014,3 - Vancouver Island,476,1358,5129,3356,6751,0,0,438,391,2803,19835,867
201401,JAN 2014,4 - North,168,320,1293,1337,1759,0,0,456,185,1314,6479,353
201402,FEB 2014,1 - Interior,387,1448,3837,2890,4525,0,0,379,276,1990,15069,663
201402,FEB 2014,2 - Coast Fraser,1799,5175,15917,12485,17841,0,0,1095,1016,7181,59694,2815
201402,FEB 2014,3 - Vancouver Island,479,1424,5154,3356,6751,0,0,438,391,2803,19926,870
201402,FEB 2014,4 - North,169,320,1283,1337,1758,0,0,464,186,1321,6483,355
201403,MAR 2014,1 - Interior,386,1448,3825,2890,4517,0,0,379,276,1990,15049,662
201403,MAR 2014,2 - Coast Fraser,1799,5213,15974,12485,17765,0,0,1089,1020,7204,59730,2819
201403,MAR 2014,3 - Vancouver Island,476,1412,5129,3351,6721,0,0,438,396,2839,19890,872
201403,MAR 2014,4 - North,168,308,1255,1331,1758,0,0,472,186,1321,6445,354
201404,APR 2014,1 - Interior,386,1456,3772,2875,4602,0,0,411,263,1901,15017,649
201404,APR 2014,2 - Coast Fraser,1806,5328,16277,12488,17882,0,0,1100,980,6930,60005,2786
201404,APR 2014,3 - Vancouver Island,476,1430,5223,3423,6776,0,0,446,379,2718,20016,855
201404,APR 2014,4 - North,167,300,1228,1302,1744,0,0,492,182,1292,6358,349
201405,MAY 2014,1 - Interior,385,1468,3772,2868,4614,0,0,387,266,1923,15032,651
201405,MAY 2014,2 - Coast Fraser,1813,5391,16383,12548,17955,0,0,1100,989,7000,60377,2802
201405,MAY 2014,3 - Vancouver Island,476,1446,5248,3441,6792,0,0,446,383,2745,20118,859
201405,MAY 2014,4 - North,167,300,1232,1322,1744,0,0,492,179,1270,6360,346
201406,JUN 2014,1 - Interior,385,1484,3772,2868,4602,0,0,387,264,1910,15023,649
201406,JUN 2014,2 - Coast Fraser,1815,5397,16404,12512,17911,0,0,1122,1000,7078,60424,2815
201406,JUN 2014,3 - Vancouver Island,478,1470,5298,3461,6811,0,0,462,382,2738,20240,860
201406,JUN 2014,4 - North,169,300,1232,1332,1769,0,0,492,178,1263,6388,347
201407,JUL 2014,1 - Interior,382,1472,3716,2867,4536,0,0,411,258,1864,14866,640
201407,JUL 2014,2 - Coast Fraser,1807,5453,16474,12377,17983,0,0,1098,994,7034,60419,2801
201407,JUL 2014,3 - Vancouver Island,470,1470,5314,3387,6713,0,0,462,376,2695,20041,846
201407,JUL 2014,4 - North,165,300,1232,1302,1769,0,0,476,175,1241,6320,340
201408,AUG 2014,1 - Interior,383,1462,3696,2867,4594,0,0,411,259,1872,14902,642
201408,AUG 2014,2 - Coast Fraser,1815,5521,16521,12407,18032,0,0,1116,983,6960,60557,2798
201408,AUG 2014,3 - Vancouver Island,469,1470,5326,3363,6716,0,0,478,374,2679,20032,843
201408,AUG 2014,4 - North,167,300,1240,1332,1807,0,0,476,179,1270,6425,346
201409,SEP 2014,1 - Interior,384,1482,3683,2951,4674,0,0,404,257,1857,15051,641
201409,SEP 2014,2 - Coast Fraser,1817,5590,16696,12461,18177,0,0,1084,980,6937,60945,2797
201409,SEP 2014,3 - Vancouver Island,470,1444,5317,3394,6851,0,0,486,372,2664,20156,842
201409,SEP 2014,4 - North,169,300,1253,1332,1825,0,0,492,173,1230,6432,342
201410,OCT 2014,1 - Interior,385,1482,3699,2961,4652,0,0,428,256,1850,15072,641
201410,OCT 2014,2 - Coast Fraser,1831,5792,16864,12523,18254,0,0,1084,986,6986,61503,2817
201410,OCT 2014,3 - Vancouver Island,473,1436,5458,3434,7083,0,0,502,376,2691,20604,849
201410,OCT 2014,4 - North,168,312,1253,1332,1801,0,0,484,172,1224,6406,340
201411,NOV 2014,1 - Interior,384,1470,3697,2942,4665,0,0,420,255,1843,15037,639
201411,NOV 2014,2 - Coast Fraser,1835,5900,17003,12492,18270,0,0,1076,990,7016,61757,2825
201411,NOV 2014,3 - Vancouver Island,475,1432,5458,3491,7104,0,0,502,382,2737,20724,857
201411,NOV 2014,4 - North,168,312,1253,1332,1803,0,0,492,172,1225,6417,340
201412,DEC 2014,1 - Interior,385,1486,3713,2946,4665,0,0,428,253,1830,15068,638
201412,DEC 2014,2 - Coast Fraser,1849,6034,17083,12514,18323,0,0,1116,990,7018,62088,2839
201412,DEC 2014,3 - Vancouver Island,476,1452,5443,3489,7128,0,0,502,385,2760,20774,861
201412,DEC 2014,4 - North,168,320,1253,1332,1793,0,0,500,172,1225,6423,340
201501,JAN 2015,1 - Interior,389,1486,3686,2976,4699,0,0,420,251,1814,15081,640
201501,JAN 2015,2 - Coast Fraser,1860,6028,17159,12628,18473,0,0,1134,986,6991,62413,2846
201501,JAN 2015,3 - Vancouver Island,477,1456,5458,3489,7153,0,0,502,388,2781,20839,865
201501,JAN 2015,4 - North,168,308,1228,1361,1793,0,0,500,172,1226,6416,340
201502,FEB 2015,1 - Interior,391,1486,3710,2976,4718,0,0,420,249,1799,15109,640
201502,FEB 2015,2 - Coast Fraser,1861,6016,17168,12660,18506,0,0,1150,984,6984,62484,2845
201502,FEB 2015,3 - Vancouver Island,480,1456,5482,3496,7173,0,0,510,393,2818,20935,873
201502,FEB 2015,4 - North,169,308,1240,1391,1831,0,0,508,173,1233,6511,342
201503,MAR 2015,1 - Interior,392,1486,3694,2976,4718,0,0,444,250,1805,15123,642
201503,MAR 2015,2 - Coast Fraser,1862,6004,17182,12660,18541,0,0,1149,988,7016,62552,2850
201503,MAR 2015,3 - Vancouver Island,482,1450,5498,3496,7173,0,0,517,392,2809,20943,874
201503,MAR 2015,4 - North,169,300,1224,1375,1851,0,0,500,174,1241,6491,343
201504,APR 2015,1 - Interior,387,1458,3733,2891,4728,0,0,422,236,1706,14938,623
201504,APR 2015,2 - Coast Fraser,1844,6042,17240,12443,18482,0,0,1125,943,6693,62025,2787
201504,APR 2015,3 - Vancouver Island,476,1433,5562,3341,7110,0,0,471,369,2646,20563,845
201504,APR 2015,4 - North,168,320,1269,1375,1820,0,0,490,165,1178,6452,333
201505,MAY 2015,1 - Interior,387,1458,3710,2871,4704,0,0,430,237,1714,14887,624
201505,MAY 2015,2 - Coast Fraser,1850,6102,17278,12431,18475,0,0,1133,943,6696,62115,2793
201505,MAY 2015,3 - Vancouver Island,477,1441,5560,3321,7110,0,0,471,370,2654,20557,847
201505,MAY 2015,4 - North,167,324,1232,1367,1830,0,0,490,166,1185,6428,333
201506,JUN 2015,1 - Interior,386,1458,3710,2839,4704,0,0,438,242,1754,14903,628
201506,JUN 2015,2 - Coast Fraser,1860,6160,17384,12461,18520,0,0,1151,951,6748,62424,2811
201506,JUN 2015,3 - Vancouver Island,478,1441,5560,3321,7120,0,0,479,375,2690,20611,853
201506,JUN 2015,4 - North,169,324,1250,1377,1830,0,0,498,165,1178,6457,334
201507,JUL 2015,1 - Interior,378,1430,3717,2814,4686,0,0,446,238,1723,14816,616
201507,JUL 2015,2 - Coast Fraser,1848,6212,17438,12214,18357,0,0,1159,940,6675,62055,2788
201507,JUL 2015,3 - Vancouver Island,471,1465,5550,3265,7124,0,0,463,373,2676,20543,844
201507,JUL 2015,4 - North,162,324,1250,1337,1784,0,0,466,162,1159,6320,324
201508,AUG 2015,1 - Interior,377,1426,3692,2799,4706,0,0,446,238,1723,14792,615
201508,AUG 2015,2 - Coast Fraser,1850,6213,17450,12153,18421,0,0,1159,942,6688,62084,2792
201508,AUG 2015,3 - Vancouver Island,470,1461,5542,3245,7116,0,0,471,370,2653,20488,840
201508,AUG 2015,4 - North,163,324,1250,1337,1784,0,0,474,164,1173,6342,327
201509,SEP 2015,1 - Interior,383,1426,3768,2797,4804,0,0,446,230,1666,14907,613
201509,SEP 2015,2 - Coast Fraser,1861,6314,17692,12231,18723,0,0,1159,930,6603,62722,2791
201509,SEP 2015,3 - Vancouver Island,475,1453,5533,3299,7325,0,0,487,361,2586,20683,836
201509,SEP 2015,4 - North,166,324,1313,1381,1808,0,0,482,162,1158,6466,328
201510,OCT 2015,1 - Interior,389,1470,3784,2908,4866,0,0,454,231,1674,15156,620
201510,OCT 2015,2 - Coast Fraser,1874,6378,17806,12305,18929,0,0,1210,922,6549,63177,2796
201510,OCT 2015,3 - Vancouver Island,479,1449,5500,3295,7380,0,0,527,358,2565,20716,837
201510,OCT 2015,4 - North,165,324,1318,1381,1798,0,0,498,165,1180,6499,330
201511,NOV 2015,1 - Interior,394,1482,3809,2928,4893,0,0,470,229,1661,15243,623
201511,NOV 2015,2 - Coast Fraser,1882,6430,17897,12341,19064,0,0,1218,921,6544,63494,2803
201511,NOV 2015,3 - Vancouver Island,485,1457,5516,3295,7407,0,0,543,360,2579,20797,845
201511,NOV 2015,4 - North,164,324,1318,1371,1798,0,0,498,166,1187,6496,330
201512,DEC 2015,1 - Interior,393,1482,3801,2928,4893,0,0,470,230,1668,15242,623
201512,DEC 2015,2 - Coast Fraser,1891,6474,17982,12397,19144,0,0,1226,924,6569,63792,2815
201512,DEC 2015,3 - Vancouver Island,486,1467,5528,3295,7400,0,0,571,364,2609,20870,850
201512,DEC 2015,4 - North,166,324,1350,1391,1788,0,0,498,168,1201,6552,334
201601,JAN 2016,1 - Interior,393,1480,3843,2938,4883,0,0,478,232,1683,15305,625
201601,JAN 2016,2 - Coast Fraser,1891,6614,18031,12389,19078,0,0,1218,925,6583,63913,2816
201601,JAN 2016,3 - Vancouver Island,484,1451,5560,3279,7372,0,0,579,366,2623,20864,850
201601,JAN 2016,4 - North,166,312,1342,1425,1782,0,0,498,169,1208,6567,335
201602,FEB 2016,1 - Interior,394,1492,3852,2928,4889,0,0,494,235,1706,15361,629
201602,FEB 2016,2 - Coast Fraser,1896,6661,18103,12388,19123,0,0,1236,921,6558,64069,2817
201602,FEB 2016,3 - Vancouver Island,490,1463,5616,3301,7386,0,0,619,370,2653,21038,860
201602,FEB 2016,4 - North,167,324,1374,1425,1806,0,0,506,169,1207,6642,336
201603,MAR 2016,1 - Interior,394,1472,3876,2928,4901,0,0,494,238,1727,15398,632
201603,MAR 2016,2 - Coast Fraser,1898,6633,18141,12398,19103,0,0,1236,923,6576,64087,2821
201603,MAR 2016,3 - Vancouver Island,494,1475,5624,3301,7428,0,0,627,372,2667,21122,866
201603,MAR 2016,4 - North,167,324,1374,1425,1806,0,0,506,171,1221,6656,338
201604,APR 2016,1 - Interior,392,1494,3806,2896,4909,0,0,558,230,1672,15335,622
201604,APR 2016,2 - Coast Fraser,1888,6665,18214,12372,18951,0,0,1214,893,6356,63772,2781
201604,APR 2016,3 - Vancouver Island,484,1462,5535,3193,7344,0,0,635,368,2639,20808,852
201604,APR 2016,4 - North,162,360,1303,1348,1791,0,0,480,161,1150,6432,323
201605,MAY 2016,1 - Interior,395,1506,3846,2915,4948,0,0,566,231,1680,15461,626
201605,MAY 2016,2 - Coast Fraser,1894,6688,18211,12432,19073,0,0,1222,899,6395,64021,2793
201605,MAY 2016,3 - Vancouver Island,486,1494,5572,3201,7324,0,0,635,370,2655,20881,856
201605,MAY 2016,4 - North,164,348,1279,1388,1815,0,0,488,161,1150,6468,325
201606,JUN 2016,1 - Interior,394,1518,3846,2895,4948,0,0,566,231,1680,15453,625
201606,JUN 2016,2 - Coast Fraser,1892,6739,18227,12403,19113,0,0,1214,899,6399,64095,2791
201606,JUN 2016,3 - Vancouver Island,485,1494,5602,3185,7319,0,0,636,371,2661,20897,856
201606,JUN 2016,4 - North,164,348,1279,1388,1815,0,0,488,160,1143,6461,324
201607,JUL 2016,1 - Interior,385,1514,3851,2799,4973,0,0,566,228,1659,15362,613
201607,JUL 2016,2 - Coast Fraser,1878,6767,18321,12157,18955,0,0,1213,887,6310,63723,2765
201607,JUL 2016,3 - Vancouver Island,477,1502,5612,3087,7230,0,0,652,363,2604,20687,840
201607,JUL 2016,4 - North,161,340,1254,1368,1753,0,0,464,162,1158,6337,323
201608,AUG 2016,1 - Interior,386,1538,3892,2799,5013,0,0,566,229,1666,15474,615
201608,AUG 2016,2 - Coast Fraser,1890,6986,18588,12248,19078,0,0,1197,882,6274,64371,2772
201608,AUG 2016,3 - Vancouver Island,478,1490,5616,3087,7261,0,0,660,359,2575,20689,837
201608,AUG 2016,4 - North,163,352,1280,1368,1728,0,0,456,162,1158,6342,325
201609,SEP 2016,1 - Interior,387,1562,3944,2832,5063,0,0,558,224,1631,15590,611
201609,SEP 2016,2 - Coast Fraser,1892,7016,18649,12154,19307,0,0,1197,873,6207,64530,2765
201609,SEP 2016,3 - Vancouver Island,477,1536,5667,3137,7272,0,0,668,360,2589,20869,837
201609,SEP 2016,4 - North,170,360,1297,1401,1862,0,0,480,160,1144,6544,330
201610,OCT 2016,1 - Interior,390,1574,4008,2860,5092,0,0,558,224,1631,15723,614
201610,OCT 2016,2 - Coast Fraser,1915,7070,18837,12272,19615,0,0,1245,875,6227,65266,2790
201610,OCT 2016,3 - Vancouver Island,479,1584,5669,3204,7274,0,0,668,362,2602,21001,841
201610,OCT 2016,4 - North,171,368,1314,1415,1864,0,0,464,158,1130,6555,329
201611,NOV 2016,1 - Interior,393,1586,4016,2870,5116,0,0,566,224,1632,15786,617
201611,NOV 2016,2 - Coast Fraser,1924,7136,18888,12283,19757,0,0,1221,870,6193,65478,2794
201611,NOV 2016,3 - Vancouver Island,484,1596,5737,3248,7311,0,0,668,359,2581,21141,843
201611,NOV 2016,4 - North,172,380,1342,1409,1854,0,0,456,159,1137,6578,331
201612,DEC 2016,1 - Interior,394,1606,4040,2869,5124,0,0,551,225,1640,15830,619
201612,DEC 2016,2 - Coast Fraser,1926,7185,18954,12292,19794,0,0,1213,874,6224,65662,2800
201612,DEC 2016,3 - Vancouver Island,486,1596,5755,3270,7325,0,0,676,361,2594,21216,847
